,price,mark,model,year,mileage,engine_capacity,transmission,drive,hand_drive,fuel
0,80,nissan,march,2003,80000,1240,at,2wd,rhd,gasoline
1,110,nissan,march,2010,53000,1200,at,2wd,rhd,gasoline
2,165,nissan,lafesta,2005,47690,2000,at,2wd,rhd,gasoline
3,190,toyota,avensis,2008,130661,1990,at,2wd,rhd,gasoline
4,190,daihatsu,mira,2006,66300,660,at,2wd,rhd,gasoline
5,190,daihatsu,mira,2004,81400,660,at,2wd,rhd,gasoline
8,220,nissan,march,2010,117000,1200,at,2wd,rhd,gasoline
9,230,volkswagen,passat,2008,127763,3190,at,4wd,rhd,gasoline
10,275,mazda,bongo van,2010,178218,1800,mt,2wd,rhd,gasoline
11,283,honda,step wgn,2005,121655,2000,at,2wd,rhd,gasoline
12,290,subaru,sambar,2004,121000,650,mt,2wd,rhd,gasoline
13,290,honda,inspire,2002,61000,2490,at,2wd,rhd,gasoline
14,290,mercedes-benz,mercedes-benz others,2006,86000,2030,at,2wd,rhd,gasoline
15,290,nissan,march,2011,62000,1200,at,2wd,rhd,gasoline
16,290,nissan,march,2010,38000,1200,at,2wd,rhd,gasoline
17,290,nissan,march,2011,130000,1200,at,2wd,rhd,gasoline
18,290,nissan,march,2011,113000,1200,at,2wd,rhd,gasoline
19,290,nissan,march,2010,152300,1200,at,2wd,rhd,gasoline
20,290,nissan,note,2010,105000,1500,at,2wd,rhd,gasoline
21,290,nissan,march,2010,85700,1200,at,2wd,rhd,gasoline
22,290,toyota,passo,2007,112700,1000,at,2wd,rhd,gasoline
23,290,subaru,impreza,2008,127000,1500,at,2wd,rhd,gasoline
24,290,toyota,passo,2009,92800,1000,at,2wd,rhd,gasoline
25,300,kubota,kubota others,1979,9999,9,mt,4wd,center,diesel
26,300,honda,life,2006,67975,660,at,2wd,rhd,gasoline
27,300,toyota,passo,2007,147933,990,at,2wd,rhd,gasoline
28,308,toyota,avensis,2006,58500,2390,at,2wd,rhd,gasoline
